weekend_date,forecast_quantity,SerialNum
2024-05-26,-53.77756671822554,1
2024-06-02,-55.076814286856305,1
2024-06-09,-44.06759272077856,1
2024-06-16,-33.85261347520257,1
2024-06-23,-34.60004632059781,1
2024-06-30,-44.73178184064611,1
2024-07-07,-54.60437570690051,1
2024-07-14,-57.365685654922714,1
2024-07-21,-54.80311090672887,1
2024-07-28,-53.046751610415136,1
2024-08-04,-54.760444582597,1
2024-08-11,-57.121577175948666,1
2024-08-18,-56.52252774663344,1
2024-05-26,3.185848041462819,5
2024-06-02,-27.195916627601278,5
2024-06-09,-144.7169291831553,5
2024-06-16,-153.01954243028865,5
2024-06-23,65.46018121800981,5
2024-06-30,383.2567549283182,5
2024-07-07,538.7232358533955,5
2024-07-14,406.1019247933424,5
2024-07-21,117.61841221840476,5
2024-07-28,-93.30658210868188,5
2024-08-04,-132.38498624607516,5
2024-08-11,-91.26800175318893,5
2024-08-18,-75.46184275416259,5
2024-05-26,244.20716734605537,2
2024-06-02,612.8764583955304,2
2024-06-09,726.7562187975861,2
2024-06-16,492.24256984689066,2
2024-06-23,104.60407814409774,2
2024-06-30,-146.20528769844458,2
2024-07-07,-138.01114680378882,2
2024-07-14,11.840687175414672,2
2024-07-21,103.72621823492014,2
2024-07-28,53.39103260086783,2
2024-08-04,-59.091120477075464,2
2024-08-11,-95.43100679466224,2
2024-08-18,14.663651733377549,2
2024-05-26,1075.4378047947134,4
2024-06-02,1353.6353762407682,4
2024-06-09,980.5970259635602,4
2024-06-16,512.3039878899377,4
2024-06-23,693.8302571293756,4
2024-06-30,1537.040527399256,4
2024-07-07,2263.869962170016,4
2024-07-14,2167.5284828234685,4
2024-07-21,1374.1861440367597,4
2024-07-28,648.6685712939794,4
2024-08-04,535.4345343749648,4
2024-08-11,861.0927648479244,4
2024-08-18,1109.7967155793185,4
